State,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7
Server 1,60,59,259034,450818,1231572,1215966,641667
Server 2,52083,85640,42153,74257,198724,183159,50277
Server 3,515910,828669,362642,601943,1804762,1523681,862573
Server 4,202070,343207,157204,264160,754420,727124,407205
Server 5,202070,343207,157204,264160,754420,727124,407205
Server 6,202070,343207,157204,264160,754420,727124,407205
Server 7,202070,343207,157204,264160,754420,727124,407205
Server 8,202070,343207,157204,264160,754420,727124,407205
Server 9,202070,343207,157204,264160,754420,727124,407205
Server 10,202070,343207,157204,264160,754420,727124,407205
